eco,opening
C17,"French Defense: Winawer Variation, Advance Variation"
C18,"French Defense: Winawer Variation, Advance Variation"
C19,"French Defense: Winawer Variation, Advance Variation, Smyslov Variation"
C20,Open Game
C21,Center Game
C22,Centre Game
C23,Bishop's Opening
C24,Bishop's Opening: Berlin Defense
C25,Vienna Game
C26,Bishop's Opening: Horwitz Gambit
C27,Bishop's Opening: Boden-Kieseritzky Gambit
C28,"Bishop's Opening: Vienna Hybrid, Hromádka Variation"
C29,Vienna Game: Heyde Variation
C30,King's Gambit
C31,Falkbeer Countergambit
C32,"King's Gambit Declined: Falkbeer Countergambit, Alapin Variation"
C33,King's Gambit Accepted
C34,King's Gambit Accepted: Becker Defense
C35,King's Gambit Accepted: Cunningham Defense
C36,King's Gambit Accepted: Abbazia Defense
C37,King's Gambit Accepted: Australian Gambit
C38,King's Gambit Accepted: Greco Gambit
C39,King's Gambit Accepted: Allgaier Gambit
C40,King's Knight Opening
C41,Philidor Defense
C42,Petrov Defense
C43,Bishop's Opening: Urusov Gambit
C44,Dresden Opening: The Goblin
C45,Scotch Game
C46,Three Knights Game
C47,"Four Knights Game, Scotch Variation"
C48,"Four Knights Game, Spanish Variation"
C49,Four Knights Game: Spanish Variation
C50,Italian Game
C51,Evans Gambit
C52,Italian Game: Evans Gambit
C53,Italian Game: Bird's Attack
C54,Italian Game: Classical Variation
C55,Two Knights Defense
C56,Italian Game: Scotch Gambit
C57,"Italian Game: Two Knights Defense, Fegatello Attack, Leonhardt Variation"
C58,Italian Game: Two Knights Defense
C59,"Italian Game: Two Knights Defense, Knorre Variation"
C60,Ruy Lopez
C61,Ruy Lopez: Bird Variation
C62,"Ruy Lopez: Old Steinitz Defense, Semi-Duras Variation"
C63,Ruy Lopez: Schliemann Defense
C64,"Ruy Lopez: Classical Defense, Benelux Variation"
C65,"Ruy Lopez, Berlin Defense"
C66,"Ruy Lopez: Berlin Defense, Closed Bernstein Variation"
C67,"Ruy Lopez: Berlin Defense, Berlin Wall"
C68,"Ruy Lopez, Exchange Variation"
C69,"Ruy Lopez: Exchange Variation, Alapin Gambit"
C70,Ruy Lopez: Bird's Defense Deferred
C71,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense"
C72,"Ruy Lopez: Closed, Kecskemet Variation"
C73,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense"
C74,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense"
C75,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense"
C76,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense, Fianchetto Variation"
C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
C78,Ruy Lopez: Brix Variation
C79,"Ruy Lopez: Morphy Defense, Steinitz Deferred"
C80,"Ruy Lopez: Morphy Defense, Tartakower Variation"
C81,"Ruy Lopez: Open, Howell Attack"
C82,Ruy Lopez: Open
C83,"Ruy Lopez: Open, Breslau Variation"
C84,"Ruy Lopez, Closed Defense"
C85,"Ruy Lopez: Closed, Delayed Exchange"
C86,"Ruy Lopez: Closed, Worrall Attack"
C87,"Ruy Lopez: Closed, Averbakh Variation"
C88,Ruy Lopez: Closed
C89,"Ruy Lopez, Marshall Attack"
C90,Ruy Lopez: Closed
C91,"Ruy Lopez: Closed, Bogoljubow Variation"
C92,Ruy Lopez: Closed
C93,"Ruy Lopez: Closed, Smyslov Defense"
C94,"Ruy Lopez: Closed, Breyer Defense"
C95,"Ruy Lopez: Closed, Breyer"
C96,"Ruy Lopez: Closed, Borisenko Variation"
C97,"Ruy Lopez: Closed, Chigorin Defense"
C98,"Ruy Lopez: Closed, Chigorin Defense"
C99,"Ruy Lopez: Closed, Chigorin Defense, Panov System"
D00,Closed Game
D01,Richter–Veresov Attack
D02,London System: Poisoned Pawn Variation
D03,Queen's Pawn Game: Torre Attack
D04,Queen's Pawn Game: Colle System
D05,Queen's Pawn Game: Colle System
D06,Queen's Gambit
D07,Chigorin Defense
D08,Albin Countergambit
D09,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation"
D10,Slav Defense
D11,Slav Defense: Bonet Gambit
D12,"Slav Defense: Quiet Variation, Amsterdam Variation"
D13,Slav Defense: Exchange Variation
D14,"Slav Defense: Exchange Variation, Symmetrical Line"
D15,Slav Defense: Alekhine Variation
D16,Slav Defense: Alapin Variation
D17,Slav Defense: Czech Variation
D18,"Slav Defense: Czech Variation, Classical System"
D19,"Slav Defense: Czech Variation, Classical System, Main Line"
D20,Queen's Gambit Accepted
D21,"Queen's Gambit Accepted: Alekhine Defense, Borisenko-Furman Variation"
D22,Queen's Gambit Accepted: Alekhine Defense
D23,Queen's Gambit Accepted
D24,Queen's Gambit Accepted
D25,Queen's Gambit Accepted: Janowski-Larsen Variation
D26,Queen's Gambit Accepted: Classical Defense
D27,"Queen's Gambit Accepted: Classical Defense, Main Line"
D28,"Queen's Gambit Accepted: Classical Defense, Alekhine System"
D29,"Queen's Gambit Accepted: Classical Defense, Alekhine System, Main Line"
D30,Queen's Gambit Declined
D31,Queen's Gambit Declined: Alapin Variation
D32,Tarrasch Defense
D33,Tarrasch Defense: Dubov Tarrasch
D34,"Queen's Gambit Declined: Tarrasch Defense, Stoltz Variation"
D35,Queen's Gambit Declined: Exchange Variation
D36,"Queen's Gambit Declined: Exchange Variation, Reshevsky Variation"
D37,Queen's Gambit Declined: Barmen Variation
D38,Ragozin Variation
D39,"Queen's Gambit Declined: Ragozin Defense, Vienna Variation"
D40,Semi-Tarrasch Defense
D41,Queen's Gambit Declined: Semi-Tarrasch Defense
D42,"Queen's Gambit Declined: Semi-Tarrasch Defense, Main Line"
D43,Semi-Slav Defense
D44,Semi-Slav Defense Accepted
D45,Semi-Slav Defense: Accelerated Meran Variation
D46,Semi-Slav Defense: Bogoljubow Variation
D47,Semi-Slav Defense: Meran Variation
D48,Semi-Slav Defense: Meran Variation
D49,"Semi-Slav Defense: Meran Variation, Blumenfeld Variation"
D50,Queen's Gambit Declined: Been-Koomen Variation
D51,Queen's Gambit Declined: Alekhine Variation
D52,Queen's Gambit Declined
D53,Queen's Gambit Declined
D54,Queen's Gambit Declined: Neo-Orthodox Variation
D55,Queen's Gambit Declined: Anti-Tartakower Variation
D56,Queen's Gambit Declined: Lasker Defense
D57,"Queen's Gambit Declined: Lasker Defense, Bernstein Variation"
D58,Queen's Gambit Declined: Tartakower Defense
D59,Queen's Gambit Declined: Tartakower Defense
D60,Queen's Gambit Declined: Orthodox Defense
D61,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Variation"
D62,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Variation, Flohr Line"
D63,"Queen's Gambit Declined: Orthodox Defense, Capablanca Variation"
D64,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Attack"
D65,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Attack"
D66,"Queen's Gambit Declined: Orthodox Defense, Bd3 Line"
D67,"Queen's Gambit Declined: Orthodox Defense, Alekhine Variation"
D68,"Queen's Gambit Declined: Orthodox Defense, Classical Variation"
D69,"Queen's Gambit Declined: Orthodox Defense, Classical Variation"
D70,Grünfeld Defense
D71,Neo-Grünfeld Defense: Exchange Variation
D72,"Neo-Grünfeld Defense: 5. cxd5, Main Line"
D73,Neo-Grünfeld Defense: 5. Nf3
D74,Neo-Grünfeld Defense: Delayed Exchange Variation
D75,Neo-Grünfeld Defense: Delayed Exchange Variation
D76,Neo-Grünfeld Defense: Delayed Exchange Variation
D77,Neo-Grünfeld Defense: Classical Variation
D78,"Neo-Grünfeld Defense: Classical Variation, Original Defense"
D79,Neo-Grünfeld Defense: Ultra-Delayed Exchange Variation
D80,Grünfeld Defense
D81,"Grünfeld Defense: Russian Variation, Accelerated Variation"
D82,Grünfeld Defense: Brinckmann Attack
D83,"Grünfeld Defense: Brinckmann Attack, Grünfeld Gambit"
D84,"Grünfeld Defense: Brinckmann Attack, Grünfeld Gambit Accepted"
D85,Grünfeld Defense: Exchange Variation
D86,"Grünfeld Defense: Exchange Variation, Classical Variation"
D87,"Grünfeld Defense: Exchange Variation, Seville Variation"
D88,"Grünfeld Defense: Exchange Variation, Spassky Variation"
D89,"Grünfeld Defense: Exchange Variation, Sokolsky Variation"
D90,Grünfeld Defense: Flohr Variation
D91,"Grünfeld Defense: Three Knights Variation, Petrosian System"
D92,"Grünfeld Defense: Three Knights Variation, Hungarian Attack"
D93,"Grünfeld Defense: Three Knights Variation, Hungarian Variation"
D94,Grünfeld Defense: Flohr Defense
D95,Grünfeld Defense: Botvinnik Variation
D96,"Grünfeld Defense, Russian System"
D97,Grünfeld Defense: Russian Variation
D98,"Grünfeld Defense: Russian Variation, Keres Variation"
D99,"Grünfeld Defense: Russian Variation, Smyslov Variation"
E00,Catalan Opening
E01,Catalan Opening: Closed
E02,Catalan Opening: Open Defense
E03,Catalan Opening: Open Defense
E04,Catalan Opening: Open Defense
E05,"Catalan Opening: Open Defense, Classical Line"
E06,Catalan Opening: Closed
E07,Catalan Opening: Closed
E08,Catalan Opening: Closed
E09,"Catalan Opening: Closed Variation, Rabinovich Variation"
E10,Blumenfeld Countergambit
E11,Bogo-Indian Defense
E12,Queen's Indian Defense
E13,Queen's Indian Defense: Kasparov Variation
E14,Queen's Indian Defense: Averbakh Variation
E15,Queen's Indian Defense: Buerger Variation
E16,Queen's Indian Defense: Capablanca Variation
E17,Queen's Indian Defense: Anti-Queen's Indian System
E18,"Queen's Indian Defense: Classical Variation, Tiviakov Defense"
E19,"Queen's Indian Defense: Classical Variation, Traditional Variation, Main Line"
E20,Nimzo-Indian Defense
E21,Nimzo-Indian Defense: Three Knights Variation
E22,Nimzo-Indian Defense: Spielmann Variation
E23,"Nimzo-Indian Defense: Spielmann Variation, Carlsbad Variation"
E24,Nimzo-Indian Defense: Sämisch Variation
E25,Nimzo-Indian Defense: Sämisch Variation
E26,Nimzo-Indian Defense: Sämisch Variation
E27,Nimzo-Indian Defense: Sämisch Variation
E28,Nimzo-Indian Defense: Sämisch Variation
E29,Nimzo-Indian Defense: Sämisch Variation
E30,Nimzo-Indian Defense: Leningrad Variation
E31,"Nimzo-Indian Defense: Leningrad Variation, Benoni Defense"
E32,Nimzo-Indian Defense: Classical Variation
E33,"Nimzo-Indian Defense: Classical Variation, Milner-Barry Variation"
E34,"Nimzo-Indian Defense: Classical Variation, Belyavsky Gambit"
E35,"Nimzo-Indian Defense: Classical Variation, Noa Variation"
E36,"Nimzo-Indian Defense: Classical Variation, Noa Variation"
E37,"Nimzo-Indian Defense: Classical Variation, Modern Variation"
E38,"Nimzo-Indian Defense: Classical Variation, Berlin Variation"
E39,"Nimzo-Indian Defense: Classical Variation, Berlin Variation, Macieja System"
E40,Nimzo-Indian Defense: Rubinstein System
E41,Nimzo-Indian Defense: Rubinstein System
E42,"Nimzo-Indian Defense: Rubinstein System, Rubinstein Variation"
E43,Nimzo-Indian Defense: St. Petersburg Variation
E44,Nimzo-Indian Defense: St. Petersburg Variation
E45,"Nimzo-Indian Defense: St. Petersburg Variation, Fischer Variation"
E46,Nimzo-Indian Defense: Normal Variation
E47,Nimzo-Indian Defense: Normal Variation
E48,"Nimzo-Indian Defense: Normal Variation, Classical Defense"
E49,"Nimzo-Indian Defense: Normal Variation, Botvinnik System"
E50,Nimzo-Indian Defense
E51,"Nimzo-Indian Defense: Normal Variation, Ragozin Variation"
E52,"Nimzo-Indian Defense: Normal Variation, Schlechter Defense"
E53,"Nimzo-Indian Defense: Normal Variation, Gligoric System"
E54,"Nimzo-Indian Defense: Normal Variation, Gligoric System, Exchange Variation"
E55,"Nimzo-Indian Defense: Normal Variation, Gligoric System, Bronstein Variation"
E56,"Nimzo-Indian Defense: Normal Variation, Gligoric System, Bernstein Defense"
E57,"Nimzo-Indian Defense: Normal Variation, Gligoric System, Bernstein Defense, 9. Bxc4 cxd4"
E58,"Nimzo-Indian Defense: Normal Variation, Bernstein Defense, Exchange Line"
E59,"Nimzo-Indian Defense: Normal Variation, Bernstein Defense"
E60,King's Indian Defense
E61,King's Indian Defense
E62,"King's Indian Defense: Fianchetto Variation, Carlsbad Variation"
E63,"King's Indian Defense: Fianchetto Variation, Panno Variation"
E64,"King's Indian Defense: Fianchetto Variation, Double Fianchetto Attack"
E65,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation"
E66,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation, Advance Line"
E67,"King's Indian Defense: Fianchetto Variation, Classical Fianchetto"
E68,"King's Indian Defense: Fianchetto Variation, Classical Variation"
E69,"King's Indian Defense: Fianchetto Variation, Classical Main Line"
E70,King's Indian Defense: Accelerated Averbakh Variation
E71,King's Indian Defense: Makogonov Variation
E72,"King's Indian Defense: Normal Variation, Deferred Fianchetto"
E73,King's Indian Defense: Averbakh Variation
E74,"King's Indian Defense: Averbakh Variation, Benoni Defense"
E75,"King's Indian Defense: Averbakh Variation, Main Line"
E76,"King's Indian Defense, Four Pawns Attack"
E77,King's Indian Defense: Four Pawns Attack
E78,"King's Indian Defense: Four Pawns Attack, Fluid Attack"
E79,"King's Indian Defense: Four Pawns Attack, Exchange Variation"
E80,"King's Indian Defense, Sämisch Variation"
E81,King's Indian Defense: Steiner Attack
E82,"King's Indian Defense: Sämisch Variation, Double Fianchetto"
E83,"King's Indian Defense: Sämisch Variation, Panno Formation"
E84,"King's Indian Defense: Sämisch Variation, Panno Main Line"
E85,"King's Indian Defense: Sämisch Variation, Orthodox Variation"
E86,King's Indian Defense: Sämisch Variation
E87,"King's Indian Defense: Sämisch Variation, Bronstein Defense"
E88,"King's Indian Defense: Sämisch Variation, Orthodox Variation, 7. d5 c6"
E89,"King's Indian Defense: Sämisch Variation, Closed Variation, Main Line"
E90,King's Indian Defense: Larsen Variation
E91,King's Indian Defense: Kazakh Variation
E92,King's Indian Defense: Exchange Variation
E93,"King's Indian Defense: Petrosian Variation, Keres Defense"
E94,King's Indian Defense: Orthodox Variation
E95,King's Indian Defense: Orthodox Variation
E96,"King's Indian Defense: Orthodox Variation, Positional Defense, Main Line"
E97,"King's Indian Defense: Orthodox Variation, Aronin-Taimanov Defense"
E98,"King's Indian Defense: Orthodox Variation, Classical System"
E99,"King's Indian Defense: Orthodox Variation, Classical System, Benko Attack"
